,Short_description,Description,Caller,Assignment_group,clean_desc
49,status does not change on telephony_software,"when closing a call, the agent keeps on the ""on acd call"" status.",aofnvyzt eqiyskhm,67,status do not change telephonysoftwarewhen close call the agent keep acd
50,job mm_zscr0099_dly_merktc3 failed in job_scheduler at: 10/31/2016 08:36:00  ,"received from: monitoring_tool@company.com

job mm_zscr0099_dly_merktc3 failed in job_scheduler at: 10/31/2016 08:36:00",bpctwhsn kzqsbmtp,72,job mmzscr dlymerktc fail jobscheduler
51,call for ecwtrjnq jpecxuty,call for ecwtrjnq jpecxuty,olckhmvx pcqobjnd,0,call for ecwtrjnq jpecxutycall jpecxuty
52,vip 2 - i need my password_management_tool password manager password reset.,"i need my password_management_tool password manager password reset.


 ",jwhmqnye xlpvdwre,0,vip need passwordmanagementtool password manager reset
53,reset scm_software password,"

received from: cdbaoqts.wqbsodni@gmail.com

hello,

please reset my scm_software password.


cdbaoqts wqbsodni
global product manager, markhtyeting initiatives
cdbaoqts.wqbsodni@gmail.com<mailto:cdbaoqts.wqbsodni@gmail.com>





",cdbaoqts wqbsodni,0,reset scmsoftware password please cdbaoqt wqbsodni global product manager markhtyete initiative mailto
54,account locked out while in office,"account kept locking out
possible reasons

companysecure or mobile device email setup has an incorrect password stored.
windows and network passwords do not match.",kyzhcsrq fwyltvpd,0,account lock out while officeaccount keep possible reason companysecure mobile device email setup have incorrect password store window and network not match
55,skype meeting,"

received from: dlougnqw.jiuybxew@gmail.com

good morning,

i had to reset my password again and i've lost my option for setting up a skype meeting again.  can you please help me?  i can't recall how you were able to bring it back the last time.

",dlougnqw jiuybxew,0,skype meeting good have reset password again and lose option for set can - please help not recall how be able bring back the time
56,enquiry on impact rewards,enquiry on impact rewards- how to get password reset,kpudhygb vnizrdeb,0,enquiry impact rewardsenquiry reward how get password reset
57,need dn for material 3346599/ plant plant_197/ 5019253000     1 pcs  thanks,need dn for material 3346599/ plant plant_197/ 5019253000     1 pcs  ,wckrxovs aunsgzmd,56,need for material plant pc thanksneed
58,unlock logon password,"

received from: cnhkypxw.lafncksi@gmail.com

hello,
please help to unlock my company net log on password. urgent.
",cnhkypxw lafncksi,0,unlock logon password please help company net log urgent
59,job mm_zscr0099_dly_merktc2 failed in job_scheduler at: 10/31/2016 05:19:00  ,"received from: monitoring_tool@company.com

job mm_zscr0099_dly_merktc2 failed in job_scheduler at: 10/31/2016 05:19:00",bpctwhsn kzqsbmtp,72,job mmzscr dlymerktc fail jobscheduler
60,job Job_3181 failed in job_scheduler at: 10/31/2016 05:00:00  ,"received from: monitoring_tool@company.com

job Job_3181 failed in job_scheduler at: 10/31/2016 05:00:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
61,password changed required for user- abc,password changed required for user- abc,qslrdpwk mdkivacj,0,password change require for user abcpassword abc
62,issues with outlook,"

received from: lkfzibrx.ljnabpgx@gmail.com

[cid:image001.png@01d23357.fcbe58b0]

best ",lkfzibrx ljnabpgx,0,issue with outlook cid good
63, urgent - create dlv,"please help , i try to create dlv for this mm's
7393673 sto 5019411580/00001
7393617 sto 5019329184/00002

sto from plant_289 to plant_101 ",qfnthlam lxvnwuja,56,urgent create dlvplease help try dlv for this sto plant
64,apac company : two switches are down since 3.45 am et on 10/31.,"apac company : two switches are down since 3.45 am et on 10/31.

company-ap-chn-apac-company-2960-access-sw04 
company-ap-chn-apac-company-2960-access-sw03.",utyeofsk rdyzpwhi,72,apac company two switch be down since chn access
65,error login on to the SID_34 system.,"error login on to the SID_34 system.
-verified user details.(employee# & manager name)
-user has tried the password_management_tool pwd manager.
-unlocked the erp id.
-caller confirmed that he was able to login.
-issue resolved.",quxtnlgd tqnjyzsm,0,error login the sid system verify user detail employee manager have try passwordmanagementtool pwd unlock erp caller confirm that be able issue resolve
66,delivery note can't do post goods issue,"d/n #9169754657&8058643570
plant:plant_304 to plant_310
the issue display:
ekpo-sobkz=e; ekpo-umsok=_; ekpo-kzbws<>_ ekpo-kzvbr<>e (note 305582) not supported (check your entry)
",lyzqrctk cfotnzrx,0,delivery note can not post good issue plant the display ekpo sobkz umsok kzbws kzvbr support check - entry
67,job Job_1338 failed in job_scheduler at: 10/31/2016 02:29:00  ,"received from: monitoring_tool@company.com

job Job_1338 failed in job_scheduler at: 10/31/2016 02:29:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
68,job Job_1854 failed in job_scheduler at: 10/31/2016 01:36:00  ,"received from: monitoring_tool@company.com

job Job_1854 failed in job_scheduler at: 10/31/2016 01:36:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
69,job Job_2588 failed in job_scheduler at: 10/31/2016 01:30:00  ,"received from: monitoring_tool@company.com

job Job_2588 failed in job_scheduler at: 10/31/2016 01:30:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
70,job Job_2599 failed in job_scheduler at: 10/31/2016 01:30:00  ,"received from: monitoring_tool@company.com

job Job_2599 failed in job_scheduler at: 10/31/2016 01:30:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
71,user locked- user :xyz,"

received from: przndfbo.pldqbhtn@gmail.com

it team,

please kindly  release locked computer for user : xyz
user name : fbmugzrl ahyiuqev

",przndfbo pldqbhtn,0,user lock xyz team please kindly release computer for fbmugzrl ahyiuqev
72,dell 7350: my laptop speakers is not working again and requires your urgent help.,my laptop speakers is not working again and requires your urgent help.,jgautdmk fpurxzew,0,dell laptop speaker not work again and require - urgent help
73,user needs help to connect to the wireless connection at home.,"user needs help to connect to the wireless connection at home.
-had the user connect to the lan at home.
-connected to the user system using teamviewer.
-checked the network settings.
-help the user login to the home wireless.
-disconnected the home lan.
-user confirmed that he is able to login to the home wireless.
-issue resolved.",imoelsap gxdwkimv,0,user need help connect the wireless connection home have lan system use teamviewer check network setting login disconnect confirm that able issue resolve
74,inc1564062: ticket update ,inc1564062: ticket update ,pwkrlqbc zslqfmka,0,inc ticket update
75,job hr_payroll_na_u1 failed in job_scheduler at: 10/30/2016 23:00:00  ,"received from: monitoring_tool@company.com

job hr_payroll_na_u1 failed in job_scheduler at: 10/30/2016 23:00:00",bpctwhsn kzqsbmtp,2,job hrpayrollnau fail jobscheduler
76,job hr_payroll_na_u2 failed in job_scheduler at: 10/30/2016 23:00:00  ,"received from: monitoring_tool@company.com

job hr_payroll_na_u2 failed in job_scheduler at: 10/30/2016 23:00:00",bpctwhsn kzqsbmtp,2,job hrpayrollnau fail jobscheduler
77,job hr_payroll_na_u6 failed in job_scheduler at: 10/30/2016 23:00:00  ,"received from: monitoring_tool@company.com

job hr_payroll_na_u6 failed in job_scheduler at: 10/30/2016 23:00:00",bpctwhsn kzqsbmtp,2,job hrpayrollnau fail jobscheduler
78,"power outage:UK al, 1st and 5th ave sites hard down since at 4:31 pm et on 10/30. ","what type of outage:  _____network     _____circuit     ___x__power (please specify what type of outage)

1. top 23 cert site   ?    ___yes______     (yes/no/na) 

2. when did it start  ?   ________4:31 pm et on 10/30. _____________

3.  scheduled maintenance ( power) ? __yno_____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __yes____    (yes/no/na) 

6. backup circuit active ?   ___na_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ____na_______   (yes/no/na) 

9. equipment reset ?    ____na_______    (yes/no/na) 

10. verified site working on backup circuit ?  ___na____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    ____global_telecom_1#000000223670658 _____________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",mnlazfsr mtqrkhnx,72,power outage and ave site hard down since what type network circuit xpower please specify top cert yes when do start schedule maintenance yno company provider maint ticket have backup active contact notify phone email remote dial equipment reset verify work vendor globaltelecom verizon telecomvendor gsc additional diagnostic
79,"power outage : germany, mx: site is hard down since 10/30/2016 10:09 am et","what type of outage:  ___x__network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___no______     (yes/no/na) 

2. when did it start  ?   _______10/30/2016 10:09 am et______________

3.  scheduled maintenance ( power) ? _____no__    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ____no___    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ____no__    (yes/no/na) 

6. backup circuit active ?   ____no____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",jyoqwxhz clhxsoqy,72,power outage germany site hard down since etwhat type xnetwork circuit please specify what top cert yes when do start schedule maintenance company provider network maint ticket have backup active contact notify phone email remote dial equipment reset verify work vendor globaltelecom verizon telecomvendor gsc additional diagnostic
80,job Job_1424 failed in job_scheduler at: 10/30/2016 10:35:00  ,"received from: monitoring_tool@company.com

job Job_1424 failed in job_scheduler at: 10/30/2016 10:35:00",bpctwhsn kzqsbmtp,56,job fail jobscheduler
81,erp SID_34 account locked,erp SID_34 account locked,ilvortuq zfgrlewm,0,erp sid account lockederp lock
82,user yhmwxsqj ugnthxky having issues logging to outlook. ,"user yhmwxsqj ugnthxky having issues logging to outlook. 

rgtry will be available tomorrow around 9.00 am, he works out of company campus. request you to reach out to him & fix the issue.",rdfjsawg zpmxgdcw,0,user yhmwxsqj ugnthxky have issue log outlook rgtry will available tomorrow around work out company campus request - reach fix the
83,job bwhrattr failed in job_scheduler at: 10/30/2016 02:20:00  ,"received from: monitoring_tool@company.com

job bwhrattr failed in job_scheduler at: 10/30/2016 02:20:00",bpctwhsn kzqsbmtp,73,job bwhrattr fail jobscheduler
84,engineering tool drawing originals in pdf format are not shown,"hello it service,
i need to monitor the manufacturing drawings to approve manufacturing.
the engineering tool stopped showing pdf originals:

process: 


[[erp] /production_order_interface_vendor/bas_cr 167 - rfc destination production_order_interface_vendor-views-010 not accessible (file cannot be stamped now; ).]
  08:06:34  
    bapireturnederrorexception
    [stack trace]
    cadagent.erp.conn.jco.tm.jcoerpmanager.handlereturnstructureorreturntableline(jcoerpmanager.java:379, @(#) $id: jcoerpmanager.java 60470 2015-07-24 09:02:22z wt $)
    cadagent.erp.conn.jco.tm.jcoerpmanager.handlereturnstructure(jcoerpmanager.java:360, @(#) $id: jcoerpmanager.java 60470 2015-07-24 09:02:22z wt $)
    cadagent.erp.conn.jco.tm.jcoerpmanager.generirtcfunction(jcoerpmanager.java:324, @(#) $id: jcoerpmanager.java 60470 2015-07-24 09:02:22z wt $)
    cadagent.objmod.plmfile.checkoutview(plmfile.java:1109, @(#) $id: plmfile.java 182 2016-02-18 19:00:08z aju $)
    plm.omf.omforiginalsexport.checkoutbapi(omforiginalsexport.java:337, @(#) $id: omforiginalsexport.java 54279 2014-51.08.85.1636:24z rb $)
    plm.omf.omforiginalsexport.downloaddocumentoriginals(omforiginalsexport.java:226, @(#) $id: omforiginalsexport.java 54279 2014-51.08.85.1636:24z rb $)
    plm.omf.omforiginalsexport.actionperformed(omforiginalsexport.java:147, @(#) $id: omforiginalsexport.java 54279 2014-51.08.85.1636:24z rb $)
    cadagent.gui.obr.obrfunctioneventqueue.run(obrfunctioneventqueue.java:209, @(#) $id: obrfunctioneventqueue.java 51962 2014-07-16 11:28:24z bda $)

      [api] bapi_document_checkoutview2





is this a known problem? when it will be fixed?

",vlymsnej whlqxcst,3,engineering tool drawing original pdf format be not show service need monitor the manufacturing approve manufacture stop process erp productionorderinterfacevendor bascr rfc destination view accessible file can stamp now bapireturnederrorexception stack trace cadagent conn jco jcoerpmanager handlereturnstructureorreturntableline java handlereturnstructure generirtcfunction objmod plmfile checkoutview aju plm omf omforiginalsexport checkoutbapi downloaddocumentoriginals actionperformed gui obr obrfunctioneventqueue run bda api bapidocumentcheckoutview this know problem when will fix
85,job apo_bop_plant_283a failed in job_scheduler at: 10/30/2016 01:25:00  ,"received from: monitoring_tool@company.com

job apo_bop_plant_283a failed in job_scheduler at: 10/30/2016 01:25:00",bpctwhsn kzqsbmtp,56,job apobopplant fail jobscheduler
86,job Job_1315 failed in job_scheduler at: 10/30/2016 00:48:00  ,"received from: monitoring_tool@company.com

job Job_1315 failed in job_scheduler at: 10/30/2016 00:48:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
87,job mm_zscr0099_wkly_rollfgyuej1 failed in job_scheduler at: 10/30/2016 00:11:00  ,"received from: monitoring_tool@company.com

job mm_zscr0099_wkly_rollfgyuej1 failed in job_scheduler at: 10/30/2016 00:11:00",bpctwhsn kzqsbmtp,72,job mmzscr wklyrollfgyuej fail jobscheduler
88,unable to open ie ,unable to open ie ,tmopbken ibzougsd,0,unable open
89,job Job_3050 failed in job_scheduler at: 10/29/2016 23:02:00  ,"received from: monitoring_tool@company.com

job Job_3050 failed in job_scheduler at: 10/29/2016 23:02:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
90,job SID_30cold failed in job_scheduler at: 10/29/2016 18:58:00  ,"received from: monitoring_tool@company.com

job SID_30cold failed in job_scheduler at: 10/29/2016 18:58:00",bpctwhsn kzqsbmtp,45,job sid cold fail jobscheduler
91,job SID_35cold failed in job_scheduler at: 10/29/2016 18:47:00  ,"received from: monitoring_tool@company.com

job SID_35cold failed in job_scheduler at: 10/29/2016 18:47:00",bpctwhsn kzqsbmtp,45,job sid cold fail jobscheduler
92,job Job_436 failed in job_scheduler at: 10/29/2016 18:29:00  ,"received from: monitoring_tool@company.com

job Job_436 failed in job_scheduler at: 10/29/2016 18:29:00",bpctwhsn kzqsbmtp,45,job fail jobscheduler
93,job SID_29cold failed in job_scheduler at: 10/29/2016 18:11:00  ,"received from: monitoring_tool@company.com

job SID_29cold failed in job_scheduler at: 10/29/2016 18:11:00",bpctwhsn kzqsbmtp,45,job sid cold fail jobscheduler
94,job Job_717 failed in job_scheduler at: 10/29/2016 18:11:00  ,"received from: monitoring_tool@company.com

job Job_717 failed in job_scheduler at: 10/29/2016 18:11:00",bpctwhsn kzqsbmtp,45,job fail jobscheduler
95,job SID_26cold failed in job_scheduler at: 10/29/2016 18:11:00  ,"received from: monitoring_tool@company.com

job SID_26cold failed in job_scheduler at: 10/29/2016 18:11:00",bpctwhsn kzqsbmtp,45,job sid cold fail jobscheduler
96,job SID_35cold failed in job_scheduler at: 10/29/2016 18:09:00  ,"received from: monitoring_tool@company.com

job SID_35cold failed in job_scheduler at: 10/29/2016 18:09:00",bpctwhsn kzqsbmtp,45,job sid cold fail jobscheduler
97,amssm00345: c:\ label:sys-amssm00345 94ef9088 on server: is over  85% space consumed. space available: 2.7 g ,amssm00345: c:\ label:sys-amssm00345 94ef9088 on server: is over  85% space consumed. space available: 2.7 g ,jyoqwxhz clhxsoqy,4,amssm label sys server over space consume available
98,unable to view payslips from hr_tool e time,unable to view payslips from hr_tool e time,vzrbocfl wxtpoyez,0,unable view payslip hrtool timeunable time
99,password expiry tomorrow,"

received from: ecprjbod.litmjwsy@gmail.com

my system says my password expires tomorrow.  but when i want to change to a new password, it does not allow.  the new password is not acceptingâ€¦.it says server does not authorize.  kindly check and do the needful as the password is expiring tomorrow.  ",ecprjbod litmjwsy,0,password expiry tomorrow system say expire but when want change new do not allow the acceptinga server authorize kindly check and needful
100,re: ess portal access issue,"

received from: noscwdpm.akiowsmp@gmail.com

hello,

he is an kiosk user.  please reset the password and confirm.


noscwdpm akiowsmp
noscwdpm.akiowsmp@gmail.com

from: ihkolepb ozhnjyef
sent: 29 october 2016 13:38
to: company@ticketing_tool.com
subject: ess portal access issue

hi,

below mentioned employee krlszbqo spimolgz with user id sv123 is not able to login to ess portal to access his pay slips and related contents. he is a attendance_tool user. please reset his user id and password and revert back.

",noscwdpm akiowsmp,0,ess portal access issue kiosk user please reset the password and confirm noscwdpm akiowsmp ihkolepb ozhnjyef october below mention employee krlszbqo spimolgz with not able login - pay slip relate content attendancetool revert back
101,ess portal access issue,"

received from: ihkolepb.ozhnjyef@gmail.com

hi,

below mentioned employee krlszbqo spimolgz with user id sv123 is not able to login to ess portal to access his pay slips and related contents. he is a attendance_tool user. please reset his user id and password and revert back.

",ihkolepb ozhnjyef,0,ess portal access issue below mention employee krlszbqo spimolgz with user not able login - pay slip and relate content attendancetool please reset password revert back
102,job Job_1390 failed in job_scheduler at: 10/29/2016 03:55:00  ,"received from: monitoring_tool@company.com

job Job_1390 failed in job_scheduler at: 10/29/2016 03:55:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
103,job Job_2002 failed in job_scheduler at: 10/29/2016 02:52:00  ,"received from: monitoring_tool@company.com

job Job_2002 failed in job_scheduler at: 10/29/2016 02:52:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
104,job Job_2002 failed in job_scheduler at: 10/29/2016 02:30:00  ,"received from: monitoring_tool@company.com

job Job_2002 failed in job_scheduler at: 10/29/2016 02:30:00",bpctwhsn kzqsbmtp,56,job fail jobscheduler
105,job Job_1319 failed in job_scheduler at: 10/29/2016 02:02:00  ,"received from: monitoring_tool@company.com

job Job_1319 failed in job_scheduler at: 10/29/2016 02:02:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
106,job Job_1382 failed in job_scheduler at: 10/29/2016 02:00:00  ,"received from: monitoring_tool@company.com

job Job_1382 failed in job_scheduler at: 10/29/2016 02:00:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
107,attendance_tool - system log on error,"

received from: isfadulo.etkyjabn@gmail.com

hello

good morning,

i am experiencing issues with attendance_tool log on
every time i try to log on through ""single sign portal, the following screen gets displayed and it stays there.
appreciate your support to fix this issue


[cid:image011.jpg@01d231cb.2cceacf0]

",isfadulo etkyjabn,0,attendancetool system log error good experience issue with every time try through single sign portal the follow screen get display and stay there appreciate - support fix this cid eacf
108,excel freezing issue,excel freezing issue,jborwynt gidxbfrq,0,excel freeze issueexcel issue
109,unable to sync a file in collaboration_platform ,unable to sync a file in collaboration_platform ,utdlmzyb dvfpraeg,0,unable sync file collaborationplatform
110,unable to update password on the password_management_tool password manager,unable to update password on the password_management_tool password manager,eflahbxn ltdgrvkz,0,unable update password the passwordmanagementtool managerunable manager
111,vitalyst transfer: reporting_tool access query,vitalyst transfer: reporting_tool access query,flhkxeqd gwidroap,0,vitalyst transfer reportingtool access queryvitalyst query
112,job Job_2881 failed in job_scheduler at: 10/28/2016 18:06:00  ,"received from: monitoring_tool@company.com

job Job_2881 failed in job_scheduler at: 10/28/2016 18:06:00",bpctwhsn kzqsbmtp,5,job fail jobscheduler
113,user said he will callback ,user said he will callback ,fumkcsji sarmtlhy,0,user say will callback
114,unable update passwords on password_management_tool ,unable update passwords on password_management_tool ,xeakyiqt knhjogel,0,unable update password passwordmanagementtool
115,erp SID_34 erp production password reset // account is locked,erp SID_34 erp production password reset // account is locked,qmgspxkf mckfysdh,0,erp sid production password reset account lockederp lock
116,server issues,"

received from: bgqpotek.cuxakvml@gmail.com

hello,

i have been trying to gain access to my pay roll information on the hub, specifically the hr_tool etime portal. the ""other"" information on the portal come up without problems, but the ""pay stub"" does notâ€¦it continuously shows the search ring.


",bgqpotek cuxakvml,0,server issue have be try gain access pay roll information the hub specifically hrtool etime portal other come without problem but stub do notait continuously show search ring
